"SECTION_NA","slug","file"
"Western Great Plains","western_great_plains","western_great_plains.jpg"
"Western Gulf Coastal Plains and Flatwoods","western_gulf_coastal_plains_and_flatwoods","western_gulf_coastal_plains_and_flatwoods.jpg"
"Western Lake Superior Coast","western_lake_superior_coast","western_lake_superior_coast.jpg"
"Western Mississippi Alluvial Plain","western_mississippi_alluvial_plain","western_mississippi_alluvial_plain.jpg"
"Western Superior Uplands","western_superior_uplands","western_superior_uplands.jpg"
"White Mountains","white_mountains","white_mountains.jpg"
"White Mountains-San Francisco Peaks-Mongollon Rim","white_mountains_san_francisco_peaks_mongollon_rim","white_mountains_san_francisco_peaks_mongollon_rim.jpg"
"Willamette Valley","willamette_valley","willamette_valley.jpg"
"Wind River Mountains","wind_river_mountains","wind_river_mountains.jpg"
"Wisconsin River Valley","wisconsin_river_valley","wisconsin_river_valley.jpg"
"Yellowstone Highlands","yellowstone_highlands","yellowstone_highlands.jpg"
