transition,model_code,annual_probability, return_interval ,bps_name
Mixed Fire,11190_26,0.0306152,33,Southern Rocky Mountain Juniper Woodland and Savanna
Mixed Fire,11190_27,0.0044492,225,Southern Rocky Mountain Juniper Woodland and Savanna
Mixed Fire,11190_28,0.0045828,218,Southern Rocky Mountain Juniper Woodland and Savanna
Mixed Fire,11190_34,0.0029958,334,Southern Rocky Mountain Juniper Woodland and Savanna
Mixed Fire,11200_1_2_7,0.0197044,51,Willamette Valley Upland Prairie and Savanna
Mixed Fire,11210_25,0.0124522,80,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Mixed Fire,11210_26,0.0266662,38,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
Mixed Fire,11320_32_34_35,0.0230126,43,Central Mixedgrass Prairie
Mixed Fire,11340_8_9,0.0624246,16,Columbia Basin Foothill and Canyon Dry Grassland
Mixed Fire,11350_15_28,0.0270324,37,Inter-Mountain Basins Semi-Desert Grassland
Mixed Fire,11350_25,0.000977,1024,Inter-Mountain Basins Semi-Desert Grassland
Mixed Fire,11370_3_6,0.0061764,162,Mediterranean California Subalpine Meadow
Mixed Fire,11390_8_9,0.0054252,184,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
Mixed Fire,11400_9,0.0006932,1443,Northern Rocky Mountain Subalpine-Upper Montane Grassland
Mixed Fire,11450_13,0.0062668,160,Rocky Mountain Subalpine-Montane Mesic Meadow
Mixed Fire,11450_16,0.0062162,161,Rocky Mountain Subalpine-Montane Mesic Meadow
Mixed Fire,11450_22_24_28,0.0061454,163,Rocky Mountain Subalpine-Montane Mesic Meadow
Mixed Fire,11450_9_10_19,0.0061518,163,Rocky Mountain Subalpine-Montane Mesic Meadow
Mixed Fire,11470_28,0.0126228,79,Western Great Plains Foothill and Piedmont Grassland
Mixed Fire,11480_31_38,0.0834792,12,Western Great Plains Sand Prairie
Mixed Fire,11480_32,0.0048936,204,Western Great Plains Sand Prairie
Mixed Fire,11490_28,0.016765,60,Western Great Plains Shortgrass Prairie
Mixed Fire,11520_2_3_7,0.0126326,79,California Montane Riparian Systems
Mixed Fire,11520_4_5,0.0133578,75,California Montane Riparian Systems
Mixed Fire,11520_6,0.0105248,95,California Montane Riparian Systems
Mixed Fire,11550_13_14,0.0425516,24,North American Warm Desert Riparian Systems
Mixed Fire,11550_15,0.011958,84,North American Warm Desert Riparian Systems
Mixed Fire,11550_4,0.0434146,23,North American Warm Desert Riparian Systems
Mixed Fire,11581_1_2_7,0.0006174,1620,North Pacific Montane Riparian Woodland and Shrubland - Wet
Mixed Fire,11582_1_2_7,0.0042682,234,North Pacific Montane Riparian Woodland and Shrubland - Dry
Mixed Fire,11590_10_19,0.009913,101,Rocky Mountain Montane Riparian Systems
Mixed Fire,11590_20,0.008772,114,Rocky Mountain Montane Riparian Systems
Mixed Fire,11590_29,0.008598,116,Rocky Mountain Montane Riparian Systems
Mixed Fire,11590_8_9,0.0099162,101,Rocky Mountain Montane Riparian Systems
Mixed Fire,11600_10_19,0.007415,135,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Mixed Fire,11600_20_29,0.0033192,301,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Mixed Fire,11600_21,0.0003652,2738,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Mixed Fire,11600_8_9,0.0075112,133,Rocky Mountain Subalpine/Upper Montane Riparian Systems
Mixed Fire,11620_20,0.0041374,242,Western Great Plains Floodplain Systems
Mixed Fire,11620_22,0.0078638,127,Western Great Plains Floodplain Systems
Mixed Fire,11620_27_33,0.0374986,27,Western Great Plains Floodplain Systems
Mixed Fire,11620_29_30,0.0067498,148,Western Great Plains Floodplain Systems
Mixed Fire,11620_31_39_40,0.010506,95,Western Great Plains Floodplain Systems
Mixed Fire,11620_38,0.0106576,94,Western Great Plains Floodplain Systems
Mixed Fire,11630_3_4_5,0.0288726,35,Pacific Coastal Marsh Systems
Mixed Fire,11650_1_7_8,0.0024696,405,Northern Rocky Mountain Foothill Conifer Wooded Steppe
Mixed Fire,11650_9,0.0065492,153,Northern Rocky Mountain Foothill Conifer Wooded Steppe
Mixed Fire,11660_21,0.021825,46,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Mixed Fire,11660_22,0.0187882,53,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Mixed Fire,11660_29,0.0091722,109,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Mixed Fire,11660_9_10_19,0.018279,55,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
Mixed Fire,11662_19,0.0066676,150,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna
Mixed Fire,11670_1_7_9,0.0089638,112,Rocky Mountain Poor-Site Lodgepole Pine Forest
Mixed Fire,11670_10_19,0.00042,2381,Rocky Mountain Poor-Site Lodgepole Pine Forest
Mixed Fire,11670_21,0.001822,549,Rocky Mountain Poor-Site Lodgepole Pine Forest
Mixed Fire,11720_7,0.0155348,64,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
Mixed Fire,11740_1_7,0.003268,306,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
Mixed Fire,11770_3,0.011798,85,California Coastal Closed-Cone Conifer Forest and Woodland
Mixed Fire,11770_4,0.0028954,345,California Coastal Closed-Cone Conifer Forest and Woodland
Mixed Fire,11790_31,0.0097486,103,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
Mixed Fire,11791_29_30,0.0038394,260,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland
Mixed Fire,13030_60,0.0586204,17,Northeastern Interior Dry-Mesic Oak Forest
Mixed Fire,13030_61_63_64_65_66,0.0422056,24,Northeastern Interior Dry-Mesic Oak Forest
Mixed Fire,13030_62,0.0191192,52,Northeastern Interior Dry-Mesic Oak Forest
Mixed Fire,13040_32_43_44_49,0.0148922,67,Ozark-Ouachita Dry-Mesic Oak Forest
Mixed Fire,13050_47_48,0.0049422,202,Southern Interior Low Plateau Dry-Mesic Oak Forest
Mixed Fire,13050_49,0.0086452,116,Southern Interior Low Plateau Dry-Mesic Oak Forest
Mixed Fire,13050_53,0.0010052,995,Southern Interior Low Plateau Dry-Mesic Oak Forest
Mixed Fire,13060_47_48,0.0113812,88,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
Mixed Fire,13070_46_47_48,0.0111154,90,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
Mixed Fire,13080_32_35,0.0106962,93,Crosstimbers Oak Forest and Woodland
Mixed Fire,13080_38_43_44,0.0107106,93,Crosstimbers Oak Forest and Woodland
Mixed Fire,13090_53_57,0.0015286,654,Southern Appalachian Northern Hardwood Forest
Mixed Fire,13100_38_42_43,0.019908,50,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_39,0.0232862,43,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_41_62,0.017709,56,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_44_50,0.0202956,49,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_47,0.0061856,162,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_49,0.021461,47,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_51,0.0062232,161,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13100_52,0.0210334,48,North-Central Interior Dry-Mesic Oak Forest and Woodland
Mixed Fire,13110_39,0.0117838,85,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13110_42_43,0.0089278,112,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13110_44,0.0101604,98,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13110_49,0.0066474,150,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13110_50,0.010059,99,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13110_51,0.0089836,111,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13110_52,0.0066176,151,North-Central Interior Dry Oak Forest and Woodland
Mixed Fire,13120_44,0.011534,87,Ouachita Montane Oak Forest
Mixed Fire,13150_48_53_57_59_61,0.007214,139,Southern Appalachian Oak Forest
Mixed Fire,13160_54_57_59_61,0.002784,359,Southern Piedmont Mesic Forest
Mixed Fire,13160_60,0.0027856,359,Southern Piedmont Mesic Forest
Mixed Fire,13170_48_53,0.0008264,1210,Allegheny-Cumberland Dry Oak Forest and Woodland
Mixed Fire,13170_57_61,0.0171002,58,Allegheny-Cumberland Dry Oak Forest and Woodland
Mixed Fire,13170_62,0.0085718,117,Allegheny-Cumberland Dry Oak Forest and Woodland
Mixed Fire,13180_48_53,0.0013802,725,Southern and Central Appalachian Cove Forest
Mixed Fire,13180_57_59_61,0.0019828,504,Southern and Central Appalachian Cove Forest
Mixed Fire,13200_48_57_61,0.010776,93,Central and Southern Appalachian Montane Oak Forest
Mixed Fire,13210_47_48_53_57,0.0019268,519,South-Central Interior Mesophytic Forest
Mixed Fire,13210_49,0.0012122,825,South-Central Interior Mesophytic Forest
Mixed Fire,13210_61_63,0.0017656,566,South-Central Interior Mesophytic Forest
Mixed Fire,13210_62,0.0012652,790,South-Central Interior Mesophytic Forest
Mixed Fire,13220_45,0.0095696,104,Southern Crowley`s Ridge Mesic Loess Slope Forest
Mixed Fire,13230_32_36_37_44_45_98,0.0111388,90,West Gulf Coastal Plain Mesic Hardwood Forest
Mixed Fire,13240_60_65_66,0.0227888,44,Northern Atlantic Coastal Plain Hardwood Forest
Mixed Fire,13250_46_47_48,0.0062578,160,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
Mixed Fire,13260_47,0.0053714,186,South-Central Interior/Upper Coastal Plain Flatwoods
Mixed Fire,13260_49,0.0300748,33,South-Central Interior/Upper Coastal Plain Flatwoods
Mixed Fire,13270_45_46_47,0.002818,355,East Gulf Coastal Plain Northern Loess Bluff Forest
Mixed Fire,13280_46_99,0.0102658,97,East Gulf Coastal Plain Limestone Forest
Mixed Fire,13290_45_46_99,0.0052728,190,East Gulf Coastal Plain Southern Loess Bluff Forest
Mixed Fire,13300_46_48_54_55_56_99,0.0101848,98,Southern Coastal Plain Dry Upland Hardwood Forest
Mixed Fire,13330_56,0.0025982,385,South Florida Hardwood Hammock
Mixed Fire,13340_32_43_44,0.0092776,108,Ozark-Ouachita Mesic Hardwood Forest
Mixed Fire,13350_55_58_60,0.0101932,98,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest
Mixed Fire,13360_56,0.0021876,457,Southwest Florida Coastal Strand and Maritime Hammock
Mixed Fire,13370_56,0.00421,238,Southeast Florida Coastal Strand and Maritime Hammock
Mixed Fire,13380_36,0.010203,98,Central and South Texas Coastal Fringe Forest and Woodland
Mixed Fire,13400_61,0.0009484,1054,Appalachian Shale Barrens
Mixed Fire,13420_59,0.0029906,334,Piedmont Hardpan Woodland and Forest
Mixed Fire,13430_54_55,0.0062594,160,Atlantic Coastal Plain Mesic Hardwood Forest
Mixed Fire,13430_58_60,0.0025876,386,Atlantic Coastal Plain Mesic Hardwood Forest
Mixed Fire,13441_51,0.0158722,63,Boreal Jack Pine-Black Spruce Forest - Pine Barrens
Mixed Fire,13460_54_55_58,0.002699,371,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
Mixed Fire,13470_55_58_60,0.002689,372,Atlantic Coastal Plain Upland Longleaf Pine Woodland
Mixed Fire,13480_37_45_98,0.0012948,772,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland
Mixed Fire,13490_46_48_54_55_99,0.001341,746,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland
Mixed Fire,13500_57,0.0008666,1154,Central and Southern Appalachian Spruce-Fir Forest
Mixed Fire,13500_61,0.0000772,12953,Central and Southern Appalachian Spruce-Fir Forest
Mixed Fire,13510_48_54_59,0.0033688,297,Southeastern Interior Longleaf Pine Woodland
Mixed Fire,13520_53_54_57_59_60_61,0.01004,100,Southern Appalachian Montane Pine Forest and Woodland
Mixed Fire,13530_46_48_53_54_57_59_60_61,0.0151722,66,Southern Appalachian Low-Elevation Pine Forest
Mixed Fire,13530_47,0.0008268,1209,Southern Appalachian Low-Elevation Pine Forest
Mixed Fire,13540_64_66,0.0318966,31,Northeastern Interior Pine Barrens
Mixed Fire,13550_60_65,0.0322864,31,Northern Atlantic Coastal Plain Pitch Pine Barrens
Mixed Fire,13560_55_56_99,0.0000724,13812,Florida Longleaf Pine Sandhill
Mixed Fire,13570_46_47_55_58_99,0.0062596,160,Southern Coastal Plain Mesic Slope Forest
Mixed Fire,13580_35_36,0.0109396,91,East-Central Texas Plains Southern Pine Forest and Woodland
Mixed Fire,13600_56,0.0054864,182,South Florida Pine Rockland
Mixed Fire,13610_58_60,0.008418,119,Central Atlantic Coastal Plain Maritime Forest
Mixed Fire,13620_41_50,0.0014942,669,Laurentian-Acadian Northern Pine(-Oak) Forest
Mixed Fire,13620_51_63_64_65_66,0.0022214,450,Laurentian-Acadian Northern Pine(-Oak) Forest
Mixed Fire,13630_47_53,0.0620088,16,Central Interior Highlands Dry Acidic Glade and Barrens
Mixed Fire,13640_32_44_49,0.0112588,89,Ozark-Ouachita Dry Oak Woodland
Mixed Fire,13651_40_41_50,0.0006828,1465,Boreal White Spruce-Fir-Hardwood Forest - Inland
Mixed Fire,13651_51,0.0019318,518,Boreal White Spruce-Fir-Hardwood Forest - Inland
Mixed Fire,13652_41,0.0008962,1116,Boreal White Spruce-Fir-Hardwood Forest - Coastal
Mixed Fire,13652_51,0.00079,1266,Boreal White Spruce-Fir-Hardwood Forest - Coastal
Mixed Fire,13653_41,0.0041366,242,Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch
Mixed Fire,13660_50,0.0010034,997,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
Mixed Fire,13660_51_63_64_65_66,0.0009764,1024,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
Mixed Fire,13670_32_44,0.0108832,92,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland
Mixed Fire,13680_46_48_54_57_59_60_61,0.0043172,232,Southern Piedmont Dry Oak(-Pine) Forest
Mixed Fire,13690_60_61_63_64_65_66,0.0021676,461,Central Appalachian Dry Oak-Pine Forest
Mixed Fire,13700_53_61_62,0.0008802,1136,Appalachian (Hemlock-)Northern Hardwood Forest
Mixed Fire,13700_60_63_64_65_66,0.0008946,1118,Appalachian (Hemlock-)Northern Hardwood Forest
Mixed Fire,13710_32_36_37_45_98,0.015632,64,West Gulf Coastal Plain Pine-Hardwood Forest
Mixed Fire,13710_44,0.0194648,51,West Gulf Coastal Plain Pine-Hardwood Forest
Mixed Fire,13720_46_99,0.0113968,88,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest
Mixed Fire,13750_60,0.0178112,56,Eastern Serpentine Woodland
Mixed Fire,13760_48_53_57_61,0.0090156,111,Southern Ridge and Valley/Cumberland Dry Calcareous Forest
Mixed Fire,13770_60_61_63_64_65_66,0.0026694,375,Central Appalachian Pine-Oak Rocky Woodland
Mixed Fire,13780_37_44,0.0025744,388,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland
Mixed Fire,13790_60_65,0.0063332,158,Northern Atlantic Coastal Plain Maritime Forest
Mixed Fire,13800_55_99,0.0006156,1624,East Gulf Coastal Plain Maritime Forest
Mixed Fire,13810_45,0.0022384,447,Lower Mississippi River Dune Woodland and Forest
Mixed Fire,13820_55_58,0.0011414,876,Southern Atlantic Coastal Plain Maritime Forest
Mixed Fire,13830_32_35_36,0.0419638,24,Edwards Plateau Limestone Savanna and Woodland
Mixed Fire,13850_20,0.0200848,50,Western Great Plains Wooded Draw and Ravine
Mixed Fire,13850_29_30,0.0262786,38,Western Great Plains Wooded Draw and Ravine
Mixed Fire,13850_31_39_40_42,0.015465,65,Western Great Plains Wooded Draw and Ravine
Mixed Fire,13870_55_56,0.000816,1225,Florida Peninsula Inland Scrub
Mixed Fire,13890_64_66,0.00056,1786,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz
Mixed Fire,13930_32_35,0.0228948,44,Edwards Plateau Limestone Shrubland
Mixed Fire,13940_39_40_41,0.0060802,164,North-Central Interior Oak Savanna
Mixed Fire,13940_42,0.0059282,169,North-Central Interior Oak Savanna
Mixed Fire,13940_44_49,0.0053112,188,North-Central Interior Oak Savanna
Mixed Fire,13940_50_51,0.0053578,187,North-Central Interior Oak Savanna
Mixed Fire,13940_52,0.005333,188,North-Central Interior Oak Savanna
Mixed Fire,13950_41_42_43_49_52,0.004018,249,North-Central Oak Barrens
Mixed Fire,13950_50,0.0070272,142,North-Central Oak Barrens
Mixed Fire,13950_51,0.0056096,178,North-Central Oak Barrens
Mixed Fire,13970_48,0.0779498,13,Nashville Basin Limestone Glade and Woodland
Mixed Fire,14000_60_61,0.0545302,18,Central Appalachian Alkaline Glade and Woodland
Mixed Fire,14000_63,0.0533784,19,Central Appalachian Alkaline Glade and Woodland
Mixed Fire,14000_64,0.054076,18,Central Appalachian Alkaline Glade and Woodland
Mixed Fire,14010_43_44_47_48_53,0.0639178,16,Central Interior Highlands Calcareous Glade and Barrens
Mixed Fire,14010_49,0.0636312,16,Central Interior Highlands Calcareous Glade and Barrens
Mixed Fire,14071_41_50_51,0.0133642,75,Laurentian Pine-Oak Barrens
Mixed Fire,14072_41_50_51,0.0216634,46,Laurentian Pine-Oak Barrens - Jack Pine
Mixed Fire,14080_48,0.0633088,16,Alabama Ketona Glade and Woodland
Mixed Fire,14090_50_64,0.0003168,3157,Great Lakes Alvar
Mixed Fire,14100_35,0.0387204,26,Llano Uplift Acidic Forest-Woodland-Glade
Mixed Fire,14130_47,0.0075842,132,Bluegrass Savanna and Woodland
Mixed Fire,14140_57,0.0029334,341,Southern Appalachian Grass and Shrub Bald
Mixed Fire,14151_44,0.0029854,335,Arkansas Valley Prairie and Woodland - Prairie
Mixed Fire,14152_44,0.0699944,14,Arkansas Valley Prairie and Woodland - Woodland
Mixed Fire,14160_48,0.0379828,26,Western Highland Rim Prairie and Barrens
Mixed Fire,14170_48,0.0294698,34,Eastern Highland Rim Prairie and Barrens
Mixed Fire,14180_47,0.0133858,75,Pennyroyal Karst Plain Prairie and Barrens
Mixed Fire,14220_32_35_36_37,0.0058204,172,Southern Blackland Tallgrass Prairie
Mixed Fire,14230_32_35,0.0127324,79,Southeastern Great Plains Tallgrass Prairie
Mixed Fire,14230_38,0.012647,79,Southeastern Great Plains Tallgrass Prairie
Mixed Fire,14230_43_44,0.0124622,80,Southeastern Great Plains Tallgrass Prairie
Mixed Fire,14250_56,0.0272586,37,Florida Dry Prairie
Mixed Fire,14260_58,0.0713892,14,Southern Atlantic Coastal Plain Dune and Maritime Grassland
Mixed Fire,14270_47,0.0284794,35,East Gulf Coastal Plain Jackson Plain Prairie and Barrens
Mixed Fire,14280_37_44,0.1513776,7,West Gulf Coastal Plain Northern Calcareous Prairie
Mixed Fire,14300_46,0.3390584,3,Southern Coastal Plain Blackland Prairie and Woodland
Mixed Fire,14320_45,0.3179232,3,Lower Mississippi Alluvial Plain Grand Prairie
Mixed Fire,14340_37_98,0.010109,99,Texas-Louisiana Coastal Prairie
Mixed Fire,14360_60,0.0728452,14,Northern Atlantic Coastal Plain Dune and Swale
Mixed Fire,14360_65_66,0.0599838,17,Northern Atlantic Coastal Plain Dune and Swale
Mixed Fire,14380_36,0.0097678,102,Tamaulipan Savanna Grassland
Mixed Fire,14400_36,0.0038752,258,Tamaulipan Clay Grassland
Mixed Fire,14440_41_50_51,0.00173,578,Eastern Boreal Floodplain
Mixed Fire,14450_56,0.0135928,74,South Florida Dwarf Cypress Savanna
Mixed Fire,14460_56,0.0009142,1094,South Florida Pine Flatwoods
Mixed Fire,14490_58_60,0.0037818,264,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
Mixed Fire,14500_55_58,0.0020436,489,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods
Mixed Fire,14510_37_98,0.0056072,178,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods
Mixed Fire,14520_58_60,0.0651056,15,Atlantic Coastal Plain Peatland Pocosin and Canebrake
Mixed Fire,14530_55_56,0.0001164,8591,Central Florida Pine Flatwoods
Mixed Fire,14540_55_56_99,0.0020126,497,East Gulf Coastal Plain Near-Coast Pine Flatwoods
Mixed Fire,14570_47_48,0.00829,121,South-Central Interior/Upper Coastal Plain Wet Flatwoods
Mixed Fire,14570_49,0.0084874,118,South-Central Interior/Upper Coastal Plain Wet Flatwoods
Mixed Fire,14580_37_44_45_98,0.0095528,105,West Gulf Coastal Plain Pine-Hardwood Flatwoods
Mixed Fire,14590_58,0.0031548,317,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland
Mixed Fire,14610_46_55_56_99,0.0028294,353,Southern Coastal Plain Seepage Swamp and Baygall
Mixed Fire,14660_49,0.0018704,535,Great Lakes Wooded Dune and Swale
Mixed Fire,14660_50_51,0.001884,531,Great Lakes Wooded Dune and Swale
Mixed Fire,14680_46_55_58_99,0.0428252,23,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall
Mixed Fire,14680_60,0.0360842,28,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall
Mixed Fire,14690_31_39_40_43,0.012798,78,Eastern Great Plains Floodplain Systems
Mixed Fire,14690_38_42_49,0.0129842,77,Eastern Great Plains Floodplain Systems
Mixed Fire,14700_56,0.0027736,361,Caribbean Coastal Wetland Systems
Mixed Fire,14710_41_50,0.00238,420,Central Interior and Appalachian Floodplain Systems
Mixed Fire,14710_47_48_53_54_57_59_60_61_63,0.0025526,392,Central Interior and Appalachian Floodplain Systems
Mixed Fire,14710_49_52,0.0023186,431,Central Interior and Appalachian Floodplain Systems
Mixed Fire,14710_51_62,0.0023212,431,Central Interior and Appalachian Floodplain Systems
Mixed Fire,14710_64_65,0.0025354,394,Central Interior and Appalachian Floodplain Systems
Mixed Fire,14730_32_37_44,0.0039248,255,Gulf and Atlantic Coastal Plain Floodplain Systems
Mixed Fire,14730_36,0.0038604,259,Gulf and Atlantic Coastal Plain Floodplain Systems
Mixed Fire,14740_32_37_44_45_98,0.007714,130,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Mixed Fire,14740_36,0.0058462,171,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Mixed Fire,14740_46_47_48_55_56_58_60_99,0.0049002,204,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
Mixed Fire,14750_41_50_51_63_64_65_66,0.00232,431,Laurentian-Acadian Floodplain Systems
Mixed Fire,14850_55_99,0.001957,511,East Gulf Coastal Plain Savanna and Wet Prairie
Mixed Fire,14890_55_56_99,0.014605,68,Floridian Highlands Freshwater Marsh
Mixed Fire,14900_55_56_58_99,0.0035964,278,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
Mixed Fire,14900_60,0.0034414,291,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
Mixed Fire,15010_58_60,0.0022806,438,Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest
Mixed Fire,15060_37_44,0.0077394,129,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods
Mixed Fire,15070_44,0.0008288,1207,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland
Mixed Fire,15090_45_47,0.0093324,107,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest
Mixed Fire,15100_45,0.0020696,483,Northern Crowley`s Ridge Sand Forest
Mixed Fire,15130_45,0.0061816,162,Lower Mississippi River Flatwoods
Mixed Fire,15170_42_49_50,0.0079184,126,Paleozoic Plateau Bluff and Talus
Mixed Fire,15190_32_35_36_37,0.0186314,54,East-Central Texas Plains Post Oak Savanna and Woodland
Mixed Fire,15230_32_35,0.0074306,135,Edwards Plateau Dry-Mesic Slope Forest and Woodland
Mixed Fire,18080_79,0.0009184,1089,Hawaii Lowland Rainforest
Mixed Fire,18100_79,0.0000642,15576,Hawaii Montane Rainforest
Mixed Fire,18130_79,0.0358746,28,Hawaii Lowland Dry Forest
Mixed Fire,18140_79,0.0019516,512,Hawaii Lowland Mesic Forest
Mixed Fire,18151_79,0.002146,466,Hawaii Montane-Subalpine Dry Forest and Woodland - Lava
Mixed Fire,18160_79,0.0019978,501,Hawaii Montane-Subalpine Mesic Forest
Mixed Fire,18180_79,0.0194546,51,Hawaii Lowland Mesic Shrubland
Mixed Fire,18250_79,0.0019286,519,Hawaii Dry Cliff
Mixed Fire,18280_79,0.0196836,51,Hawaii Subalpine Mesic Shrubland
Native Grazing,10110_15,0.0131856,76,Rocky Mountain Aspen Forest and Woodland
Native Grazing,10110_20_29,0.0119344,84,Rocky Mountain Aspen Forest and Woodland
Native Grazing,10110_21,0.006085,164,Rocky Mountain Aspen Forest and Woodland
Native Grazing,10110_22,0.0001502,6658,Rocky Mountain Aspen Forest and Woodland
Native Grazing,10110_27,0.0133026,75,Rocky Mountain Aspen Forest and Woodland
Native Grazing,10110_28,0.012988,77,Rocky Mountain Aspen Forest and Woodland
Native Grazing,10130_31_38_39_40,0.0035118,285,Western Great Plains Dry Bur Oak Forest and Woodland
Native Grazing,10290_2_3_4_5_6_7_12,0.0094882,105,Mediterranean California Mixed Oak Woodland
Native Grazing,10600_1_2_7,0.0031916,313,East Cascades Oak-Ponderosa Pine Forest and Woodland
Native Grazing,10610_6,0.0250478,40,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
Native Grazing,10620_10_19_21_29_31,0.002914,343,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Native Grazing,10620_13,0.0028832,347,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Native Grazing,10620_16_23,0.0033248,301,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Native Grazing,10620_22_28,0.0018188,550,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Native Grazing,10620_6_12_17_18,0.0028866,346,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Native Grazing,10620_7_9,0.002308,433,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
Native Grazing,10640_15_16_17_23_24_27_28,0.0501852,20,Colorado Plateau Mixed Low Sagebrush Shrubland
Native Grazing,10802_21_22_28,0.0009794,1021,Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush
Native Grazing,10850_20,0.038568,26,Northwestern Great Plains Shrubland
Native Grazing,10850_29_30,0.0498074,20,Northwestern Great Plains Shrubland
Native Grazing,10860_27_31_33,0.0008886,1125,Rocky Mountain Lower Montane-Foothill Shrubland
Native Grazing,10860_29,0.0002276,4394,Rocky Mountain Lower Montane-Foothill Shrubland
Native Grazing,10862_22,0.0002408,4153,Rocky Mountain Lower Montane-Foothill Shrubland - True Mountain Mahogany
Native Grazing,10940_25,0.018331,55,Western Great Plains Sandhill Steppe
Native Grazing,10940_27_33,0.7339112,1,Western Great Plains Sandhill Steppe
Native Grazing,10940_31_38,0.7300606,1,Western Great Plains Sandhill Steppe
Native Grazing,11140_3_6_7,0.0036122,277,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
Native Grazing,11140_4_5,0.0029186,343,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
Native Grazing,11170_33,0.1592838,6,Southern Rocky Mountain Ponderosa Pine Savanna
Native Grazing,11171_27,0.0831234,12,Southern Rocky Mountain Ponderosa Pine Savanna - South
Native Grazing,11172_27,0.1554758,6,Southern Rocky Mountain Ponderosa Pine Savanna - North
