transition,model_code,annual_probability, return_interval ,bps_name
Wind or Weather or Stress,13210_49,0.0022594,443,South-Central Interior Mesophytic Forest
Wind or Weather or Stress,13210_61_63,0.0040546,247,South-Central Interior Mesophytic Forest
Wind or Weather or Stress,13210_62,0.0023124,432,South-Central Interior Mesophytic Forest
Wind or Weather or Stress,13220_45,0.0121568,82,Southern Crowley`s Ridge Mesic Loess Slope Forest
Wind or Weather or Stress,13230_32_36_37_44_45_98,0.001834,545,West Gulf Coastal Plain Mesic Hardwood Forest
Wind or Weather or Stress,13240_60_65_66,0.0008082,1237,Northern Atlantic Coastal Plain Hardwood Forest
Wind or Weather or Stress,13250_46_47_48,0.0031324,319,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
Wind or Weather or Stress,13260_47,0.0064914,154,South-Central Interior/Upper Coastal Plain Flatwoods
Wind or Weather or Stress,13260_49,0.0003982,2511,South-Central Interior/Upper Coastal Plain Flatwoods
Wind or Weather or Stress,13270_45_46_47,0.0043346,231,East Gulf Coastal Plain Northern Loess Bluff Forest
Wind or Weather or Stress,13280_46_99,0.004971,201,East Gulf Coastal Plain Limestone Forest
Wind or Weather or Stress,13290_45_46_99,0.0046994,213,East Gulf Coastal Plain Southern Loess Bluff Forest
Wind or Weather or Stress,13300_46_48_54_55_56_99,0.0049992,200,Southern Coastal Plain Dry Upland Hardwood Forest
Wind or Weather or Stress,13310_39_40_41,0.0106572,94,Eastern Great Plains Tallgrass Aspen Parkland
Wind or Weather or Stress,13330_56,0.0085698,117,South Florida Hardwood Hammock
Wind or Weather or Stress,13340_32_43_44,0.002764,362,Ozark-Ouachita Mesic Hardwood Forest
Wind or Weather or Stress,13350_55_58_60,0.0049914,200,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest
Wind or Weather or Stress,13360_56,0.026817,37,Southwest Florida Coastal Strand and Maritime Hammock
Wind or Weather or Stress,13370_56,0.0643372,16,Southeast Florida Coastal Strand and Maritime Hammock
Wind or Weather or Stress,13380_36,0.0095494,105,Central and South Texas Coastal Fringe Forest and Woodland
Wind or Weather or Stress,13390_36_37_98,0.005913,169,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland
Wind or Weather or Stress,13420_59,0.0033138,302,Piedmont Hardpan Woodland and Forest
Wind or Weather or Stress,13430_54_55,0.0030626,327,Atlantic Coastal Plain Mesic Hardwood Forest
Wind or Weather or Stress,13430_58_60,0.004982,201,Atlantic Coastal Plain Mesic Hardwood Forest
Wind or Weather or Stress,13440_41,0.0009788,1022,Boreal Jack Pine-Black Spruce Forest
Wind or Weather or Stress,13440_66,0.0044964,222,Boreal Jack Pine-Black Spruce Forest
Wind or Weather or Stress,13442_51,0.0006868,1456,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir
Wind or Weather or Stress,13460_54_55_58,0.0020586,486,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
Wind or Weather or Stress,13470_55_58_60,0.0020636,485,Atlantic Coastal Plain Upland Longleaf Pine Woodland
Wind or Weather or Stress,13480_37_45_98,0.00497,201,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland
Wind or Weather or Stress,13490_46_48_54_55_99,0.0037662,266,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland
Wind or Weather or Stress,13500_57,0.0061914,162,Central and Southern Appalachian Spruce-Fir Forest
Wind or Weather or Stress,13500_61,0.0038884,257,Central and Southern Appalachian Spruce-Fir Forest
Wind or Weather or Stress,13510_48_54_59,0.0044916,223,Southeastern Interior Longleaf Pine Woodland
Wind or Weather or Stress,13520_53_54_57_59_60_61,0.0008934,1119,Southern Appalachian Montane Pine Forest and Woodland
Wind or Weather or Stress,13530_46_48_53_54_57_59_60_61,0.00415,241,Southern Appalachian Low-Elevation Pine Forest
